ID_TYPE,ID_VALUE,START_TIME,FINISH_TIME,DURATION
TASKID,task_201307250325_0001_m_000028,1374703090383,1374703111692,21309
TASKID,task_201307250325_0001_m_000029,1374703090384,1374703111693,21309
TASKID,task_201307250325_0001_m_000099,1374703111706,1374703132985,21279
TASKID,task_201307250325_0001_m_000098,1374703111706,1374703132985,21279
TASKID,task_201307250325_0001_r_000070,1374703235530,1374704639766,1404236
TASKID,task_201307250325_0001_r_000071,1374703238547,1374704603441,1364894
TASKID,task_201307250325_0001_m_000091,1374703111703,1374703132978,21275
TASKID,task_201307250325_0001_m_000090,1374703111703,1374703132978,21275
TASKID,task_201307250325_0001_m_000093,1374703111704,1374703132980,21276
TASKID,task_201307250325_0001_m_000092,1374703111704,1374703132979,21275
TASKID,task_201307250325_0001_m_000095,1374703111705,1374703132981,21276
TASKID,task_201307250325_0001_m_000094,1374703111704,1374703132980,21276
TASKID,task_201307250325_0001_m_000097,1374703111706,1374703132984,21278
TASKID,task_201307250325_0001_m_000096,1374703111705,1374703132983,21278
TASKID,task_201307250325_0001_m_000240,1374703139065,1374703154221,15156
TASKID,task_201307250325_0001_m_000241,1374703139066,1374703154222,15156
TASKID,task_201307250325_0001_m_000242,1374703139111,1374703154285,15174
TASKID,task_201307250325_0001_m_000243,1374703139111,1374703114280,-24831
TASKID,task_201307250325_0001_m_000244,1374703139112,1374703154286,15174
TASKID,task_201307250325_0001_m_000245,1374703142098,1374703163442,21344
TASKID,task_201307250325_0001_m_000246,1374703142099,1374703157304,15205
TASKID,task_201307250325_0001_m_000247,1374703142100,1374703163443,21343
TASKID,task_201307250325_0001_m_000248,1374703148181,1374703120263,-27918
TASKID,task_201307250325_0001_m_000249,1374703154223,1374703169969,15746
TASKID,task_201307250325_0001_m_000149,1374703114724,1374703135994,21270
TASKID,task_201307250325_0001_m_000148,1374703114724,1374703135993,21269
TASKID,task_201307250325_0001_m_000143,1374703114722,1374703126864,12142
TASKID,task_201307250325_0001_m_000142,1374703114721,1374703135990,21269
TASKID,task_201307250325_0001_m_000141,1374703114721,1374703135990,21269
TASKID,task_201307250325_0001_m_000140,1374703114720,1374703135989,21269
TASKID,task_201307250325_0001_m_000147,1374703114723,1374703135993,21270
TASKID,task_201307250325_0001_m_000146,1374703114723,1374703135992,21269
TASKID,task_201307250325_0001_m_000145,1374703114723,1374703135991,21268
TASKID,task_201307250325_0001_m_000144,1374703114722,1374703135991,21269
TASKID,task_201307250325_0001_r_000007,1374703123836,1374704560964,1437128
TASKID,task_201307250325_0001_r_000006,1374703120828,1374704444905,1324077
TASKID,task_201307250325_0001_r_000005,1374703120810,1374704438120,1317310
TASKID,task_201307250325_0001_r_000004,1374703117808,1374704371876,1254068
TASKID,task_201307250325_0001_r_000003,1374703117784,1374704325731,1207947
TASKID,task_201307250325_0001_r_000002,1374703114782,1374704383939,1269157
TASKID,task_201307250325_0001_r_000001,1374703114729,1374704518281,1403552
TASKID,task_201307250325_0001_r_000000,1374703111717,1374704537035,1425318
TASKID,task_201307250325_0001_r_000009,1374703126868,1374704497002,1370134
TASKID,task_201307250325_0001_r_000008,1374703123852,1374704292431,1168579
TASKID,task_201307250325_0001_m_000114,1374703111713,1374703132995,21282
TASKID,task_201307250325_0001_m_000115,1374703111713,1374703132996,21283
TASKID,task_201307250325_0001_m_000116,1374703111713,1374703132997,21284
TASKID,task_201307250325_0001_m_000117,1374703111714,1374703132997,21283
TASKID,task_201307250325_0001_m_000110,1374703111711,1374703132993,21282
TASKID,task_201307250325_0001_m_000111,1374703111711,1374703132994,21283
TASKID,task_201307250325_0001_m_000112,1374703111712,1374703132994,21282
TASKID,task_201307250325_0001_m_000113,1374703111712,1374703132995,21283
TASKID,task_201307250325_0001_m_000118,1374703111714,1374703132998,21284
TASKID,task_201307250325_0001_m_000119,1374703111715,1374703132999,21284
TASKID,task_201307250325_0001_m_000068,1374703093318,1374703114704,21386
TASKID,task_201307250325_0001_m_000069,1374703093318,1374703114706,21388
TASKID,task_201307250325_0001_m_000060,1374703093314,1374703105532,12218
TASKID,task_201307250325_0001_m_000061,1374703093315,1374703105539,12224
TASKID,task_201307250325_0001_m_000062,1374703093315,1374703114695,21380
TASKID,task_201307250325_0001_m_000063,1374703093316,1374703114697,21381
TASKID,task_201307250325_0001_m_000064,1374703093316,1374703114698,21382
TASKID,task_201307250325_0001_m_000065,1374703093317,1374703114700,21383
TASKID,task_201307250325_0001_m_000066,1374703093317,1374703114701,21384
TASKID,task_201307250325_0001_m_000067,1374703093317,1374703114703,21386
TASKID,task_201307250325_0001_r_000049,1374703198867,1374704521293,1322426
TASKID,task_201307250325_0001_r_000048,1374703197976,1374704515900,1317924
TASKID,task_201307250325_0001_r_000043,1374703189431,1374704603440,1414009
TASKID,task_201307250325_0001_r_000042,1374703188541,1374704624273,1435732
TASKID,task_201307250325_0001_r_000041,1374703183313,1374704612631,1429318
TASKID,task_201307250325_0001_r_000040,1374703179400,1374704549065,1369665
TASKID,task_201307250325_0001_r_000047,1374703195534,1374704456567,1261033
TASKID,task_201307250325_0001_r_000046,1374703194953,1374704506782,1311829
TASKID,task_201307250325_0001_r_000045,1374703192517,1374704627693,1435176
TASKID,task_201307250325_0001_r_000044,1374703191675,1374704639303,1447628
TASKID,task_201307250325_0001_m_000239,1374703136013,1374703157303,21290
TASKID,task_201307250325_0001_m_000238,1374703136012,1374703157302,21290
TASKID,task_201307250325_0001_m_000231,1374703136010,1374703160389,24379
TASKID,task_201307250325_0001_m_000230,1374703136010,1374703163440,27430
TASKID,task_201307250325_0001_m_000233,1374703136011,1374703160391,24380
TASKID,task_201307250325_0001_m_000232,1374703136010,1374703163441,27431
TASKID,task_201307250325_0001_m_000235,1374703136011,1374703160392,24381
TASKID,task_201307250325_0001_m_000234,1374703136011,1374703157301,21290
TASKID,task_201307250325_0001_m_000237,1374703136012,1374703157302,21290
TASKID,task_201307250325_0001_m_000236,1374703136012,1374703157301,21289
TASKID,task_201307250325_0001_m_000284,1374703154297,1374703176372,22075
TASKID,task_201307250325_0001_m_000285,1374703154298,1374703176372,22074
TASKID,task_201307250325_0001_m_000286,1374703154298,1374703176373,22075
TASKID,task_201307250325_0001_m_000287,1374703154298,1374703176373,22075
TASKID,task_201307250325_0001_m_000280,1374703154296,1374703176370,22074
TASKID,task_201307250325_0001_m_000281,1374703154297,1374703173298,19001
TASKID,task_201307250325_0001_m_000282,1374703154297,1374703176371,22074
TASKID,task_201307250325_0001_m_000283,1374703154297,1374703176371,22074
TASKID,task_201307250325_0001_m_000288,1374703157305,1374703148394,-8911
TASKID,task_201307250325_0001_m_000289,1374703157305,1374703132367,-24938
TASKID,task_201307250325_0001_m_000170,1374703133003,1374703154262,21259
TASKID,task_201307250325_0001_m_000171,1374703133003,1374703154263,21260
TASKID,task_201307250325_0001_m_000178,1374703133006,1374703154270,21264
TASKID,task_201307250325_0001_m_000179,1374703133006,1374703154271,21265
TASKID,task_201307250325_0001_m_000011,1374703090373,1374703102535,12162
TASKID,task_201307250325_0001_m_000010,1374703090373,1374703111664,21291
TASKID,task_201307250325_0001_m_000013,1374703090374,1374703111667,21293
TASKID,task_201307250325_0001_m_000012,1374703090374,1374703111666,21292
TASKID,task_201307250325_0001_m_000015,1374703090375,1374703111680,21305
TASKID,task_201307250325_0001_m_000014,1374703090375,1374703111668,21293
TASKID,task_201307250325_0001_m_000017,1374703090377,1374703111683,21306
TASKID,task_201307250325_0001_m_000016,1374703090376,1374703111682,21306
TASKID,task_201307250325_0001_m_000019,1374703090378,1374703111685,21307
TASKID,task_201307250325_0001_m_000018,1374703090377,1374703111685,21308
TASKID,task_201307250325_0001_m_000305,1374703157310,1374703179698,22388
TASKID,task_201307250325_0001_m_000304,1374703157310,1374703179697,22387
TASKID,task_201307250325_0001_m_000307,1374703157311,1374703186413,29102
TASKID,task_201307250325_0001_m_000306,1374703157311,1374703179699,22388
TASKID,task_201307250325_0001_m_000301,1374703157309,1374703183303,25994
TASKID,task_201307250325_0001_m_000300,1374703157309,1374703179696,22387
TASKID,task_201307250325_0001_m_000303,1374703157310,1374703183305,25995
TASKID,task_201307250325_0001_m_000302,1374703157309,1374703183304,25995
TASKID,task_201307250325_0001_m_000309,1374703157312,1374703183307,25995
TASKID,task_201307250325_0001_m_000308,1374703157311,1374703183306,25995
TASKID,task_201307250325_0001_m_000321,1374703078229,1374703090358,12129
TASKID,task_201307250325_0001_m_000086,1374703111701,1374703123847,12146
TASKID,task_201307250325_0001_m_000087,1374703111701,1374703132975,21274
TASKID,task_201307250325_0001_m_000084,1374703108578,1374703123829,15251
TASKID,task_201307250325_0001_m_000085,1374703108579,1374703123831,15252
TASKID,task_201307250325_0001_m_000082,1374703105544,1374703120803,15259
